screen_name,count,type,state,party
katieporteroc,831,,,
douglas_collins,822,,,
annmclanekuster,819,,,
lukemesserin,817,,,
markwaynemullin,817,,,
grothmanforwi,816,,,
mcgovernma,814,,,
repmikebishop,814,,,
keithrothfus,810,,,
gt_teamgt,804,,,
housenewdems,803,,,
brendallawrence,799,,,
voteyvette,798,,,
libertycaucus,798,,,
joshharder,793,,,
toddrokita,791,,,
buddforcongress,788,,,
lacongresista,780,,,
laurenunderwood,780,,,
pascrellfornj,773,,,
chriscoonsforde,771,,,
repdianeblack,771,,,
petestauber,767,,,
gilcisnerosca,763,,,
judiciarydems,763,,,
steveknight25,762,,,
almaforcongress,759,,,
charliecrist,759,,,
kristinoem,759,,,
babin4congress,758,,,
sascmajority,756,,,
lancegooden,753,,,
rubenkihuen,752,,,
housebluedogs,751,,,
modernizecmte,749,,,
langevinforri,744,,,
suzandelbene,732,,,
grassleyworks,728,,,
toddrokitain,727,,,
repsanfordsc,719,,,
peteolson,701,,,
bluecollardems,694,,,
marcveasey,688,,,
donnorcross4nj,676,,,
repjohnfaso,676,,,
darrellissa,673,,,
toddyoungin,673,,,
rep_hunter,671,,,
usrepricknolan,667,,,
jackiewalorski,667,,,
ann_kirkpatrick,663,,,
louforsenate,663,,,
repstevepearce,662,,,
norma4congress,661,,,
bradwenstrup,660,,,
andykimnj,659,,,
colleenhanabusa,656,,,
barrforcongress,652,,,
repjasonlewis,650,,,
harleyrouda,645,,,
buddy_carter,636,,,
scicmtedems,634,,,
senbobcorker,634,,,
andy_levin,631,,,
louiseslaughter,631,,,
adamschiff,623,,,
amashoffice,622,,,
tomohalleran,613,,,
lucymcbath,613,,,
standwithbarry,611,,,
lamarsmithtx21,609,,,
reptommacarthur,608,,,
mikiesherrill,602,,,
karenhandel,601,,,
mchenrycampaign,592,,,
teamcmr,592,,,
mikecapuano,588,,,
johnfasony,585,,,
reelectcummings,584,,,
senatesmallbiz,584,,,
repjaredpolis,582,,,
repjohndelaney,580,,,
jeffflake,579,,,
joemanchinwv,576,,,
stevechabot,576,,,
jasoncrowco6,573,,,
repsandylevin,573,,,
lutherstrange,571,,,
kycomer,570,,,
degette5280,566,,,
stevenhorsford,564,,,
rephultgren,563,,,
anthonygonzalez,550,,,
tomcarperforde,549,,,
repjohnconyers,542,,,
pallonefornj,541,,,
dankildee,536,,,
chrispappasnh,535,,,
kevinyoder,535,,,
reelectwittman,530,,,
stabenow,527,,,
pryan,526,,,
chuck4congress,526,,,
senbookeroffice,524,,,
wildforcongress,521,,,
claudiatenney,516,,,
dandonovan_ny,516,,,
brianmastfl,511,,,
dainesformt,510,,,
repgregmurphy,510,,,
sharicedavids,507,,,
reppoliquin,501,,,
johnrosefortn,498,,,
repedroyce,495,,,
repjeffdenham,492,,,
repbetoorourke,490,,,
teamjoni,489,,,
jamie_raskin,486,,,
brianfitzusa,483,,,
garrettforva,483,,,
tjcoxcongress,483,,,
madeleinedean,477,,,
rondesantisfl,477,,,
conorlambpa,476,,,
repkhandel,476,,,
senatebanking,473,,,
curtisut,467,,,
replynnjenkins,466,,,
kevinomccarthy,466,,,
jerrynadler,464,,,
electadamsmith,462,,,
johnculberson,462,,,
beraforcongress,457,,,
davejoyceoh14,455,,,
